,theolscale,goodevil,endtimes2,cabal,paranormscale,ednumeric,female,black,hispanic,libdum,consdum,demdum,gopdum,polintnum,psc,trustind1,inteff,exteffic,RWA,imprelnum
189,2,4,2,3,2,2,1,0,0,0,1,0,0,1,-1.861656019,1,1.5,2,1,2
190,3,1,1.5,3,2,4,1,0,0,0,1,0,1,4,0.863286739,1,4.5,3,0,3
191,3,3,2.5,2,1,3,1,0,0,0,1,1,0,4,0.187022782,1,4,3.5,1,4
192,3,4,1,5,5,5,1,0,0,1,0,1,0,4,-0.156443075,1,4,3,1,3
193,1,2,1,4,1,2,0,0,0,1,0,1,0,4,1.040470149,2,3.5,1,0,1
194,3,5,1.5,5,1.5,5,1,0,1,0,0,1,0,4,-0.37384501,1,4.5,1,1,3
195,2,2,2,4,1,4,0,0,0,0,1,0,1,4,0.630530451,1,4.5,1,1,1
196,3,3,2.5,4,2,2,1,0,0,0,1,0,1,4,1.009980482,1,4.5,3,1,4
197,3,2,2.5,3,4.5,3,1,0,0,0,1,0,1,4,0.959251824,1,4,5,1,4
198,1,5,1.5,2,1,3,1,0,0,1,0,1,0,4,-0.558839953,1,3.5,3,0,1
199,1,2,1,5,1,3,0,0,0,1,0,0,0,4,0.630530451,2,3,1,0,1
200,3,2,1,4,2.5,4,0,0,0,0,0,0,0,2,-1.199978922,1,1.5,2,0.5,2
201,2,3,2,4,2,2,0,0,0,0,1,1,0,2,-0.275641402,1,1.5,2,0.5,3
202,2.5,4,1.5,4,2,2,0,0,0,0,1,1,0,4,-0.040889286,1,4.5,1.5,1,4
203,3,1,2,3,3,4,1,0,0,1,0,1,0,3,-0.348772354,2,3.5,2,1,4
204,2,3,2,3,3,3,1,0,0,0,0,0,1,4,-0.020050981,1,3,3,0,1
205,1,3,1,4,1.5,6,0,0,0,1,0,1,0,4,1.091198807,1,4,2,0,1
206,1,3,1,3,2,6,0,0,0,1,0,1,0,4,1.040470149,2,4.5,1.5,0,3
207,1,3,1,4,1,6,0,0,0,1,0,1,0,4,0.81255808,2,3.5,1.5,0,1
208,2,3,2,4,4,5,0,0,0,1,0,1,0,4,-0.120860286,1,3.5,1.5,1,2
209,2,3,2,3,3.5,3,0,0,0,0,1,0,0,3,-1.729709036,2,3,3,0,3
210,3,5,3,5,4,2,0,0,0,0,1,0,1,4,0.585893337,1,3,1,0.5,3
211,3,3,1.5,5,3,6,0,0,0,0,1,0,0,3,0.101958245,1,3,1,1,3
212,3,3,2.5,3,4.5,4,0,0,0,0,1,0,1,4,0.833481523,2,5,2.5,0,4
213,3,4,3,4,4.5,3,0,0,0,0,1,0,1,4,-1.04433798,1,2.5,1,1,4
214,3,1,2.5,1,3,6,0,1,0,0,0,1,0,4,0.485254489,2,5,4,1,4
215,3,2,2,1,2.5,6,0,0,0,0,0,0,0,4,1.040470149,1,4.5,3.5,0.5,4
216,3,4,1,1,3.5,5,0,0,0,0,1,0,1,4,1.040470149,1,5,2.5,1,4
217,3,4,2,3,2.5,2,1,0,1,0,1,0,0,2,-1.251326605,1,3,2,1,4
218,1.5,3,1,2,2,2,1,0,0,0,0,1,0,3,0.783315739,1,2,2,1,2
219,2.5,3,3,5,2,2,1,0,0,0,1,0,0,NA,-1.861656019,1,3,1,0,4
220,2,4,1.5,3,3,2,1,0,0,0,1,0,0,2,-0.702566383,1,2.5,2,1,4
221,2,1,1,4,3.5,2,0,0,0,1,0,1,0,4,0.762477434,2,3,2,0.5,2
222,3,3,3,4,1,3,0,0,0,0,1,0,1,2,-0.97333389,1,3,3,1,4
223,3,1,1,2,4,3,1,0,0,0,0,1,0,2,0.329870313,1,2,2,0.5,1
224,3,4,2.5,4,3,3,0,1,0,0,0,1,0,2,0.126642762,1,1.5,2.5,1,3
225,3,5,3,5,3,2,1,0,0,0,0,1,0,2,-0.176422608,1,5,1,1,4
226,3,2,2.5,2,5,2,1,0,0,0,1,0,1,4,1.091198807,1,4,3,0.5,3
227,3,4,3,5,1.5,2,1,0,0,0,1,0,1,4,-0.091690431,1,3.5,2.5,1,4
